Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
1,24,44.429544797555934,65.31135879127676,73.8119488952712,4,1
2,21,63.66188334392444,77.2080383636353,80.50752816884437,5,1
3,22,88.67032069547645,72.64498721683195,70.21158923342968,11,1
4,24,41.25749230501182,46.12280269839001,69.85598681214219,4,1
5,20,86.89300130783711,85.54970233096316,68.65808318089127,8,1
6,22,65.89455855651424,91.8886286735411,73.83242039302458,8,1
7,22,77.30746660330288,60.857425595554204,70.39602653232147,1,1
8,24,79.86286620227666,41.26179797908379,83.26904706619194,3,1
9,19,76.62132249236389,78.79557929524132,75.73013966125828,11,1
10,20,57.025740225537604,58.57670585150669,73.29602325875172,4,1
11,24,64.53176280197465,75.49628313119351,71.49921053641386,2,1
12,20,48.07665734123776,98.83038653193853,60.698105475559174,5,1
13,20,77.3769449738212,46.351693891356085,71.99216949483576,11,1
14,22,95.53082731023889,56.84730768262746,64.24166136216971,8,1
15,21,42.63338669985306,65.27728569032172,76.15861232510778,2,1
16,20,58.57531140792947,86.08349705902519,69.49369140536848,9,1
17,23,67.273370861756,100.0,91.97177545709174,7,1
18,22,72.60012135570331,71.45919261939478,56.85659169326968,6,1
19,19,83.18764452151639,45.148881629856724,34.79378021549557,8,1
20,21,67.717000294635,63.16270076048288,75.21195645509314,2,1
21,23,65.26061910331525,57.15191119266822,64.28104092368365,5,1
22,23,86.54696059104612,78.10219668760105,73.93272727695482,4,1
23,19,79.92993350594958,73.27638584618506,57.172346118151765,8,1
24,21,78.08466963551648,53.41461284793563,94.90751689518494,1,1
25,22,71.68773567382172,56.331204060540166,67.36186556904414,3,1
26,18,84.74728316379787,62.95919888395926,63.5046531504771,10,1
27,21,60.155359131546,64.64898365912151,94.68590594012375,8,1
28,19,58.10958576720883,67.40935517362591,82.08411780480492,5,1
29,23,81.19151480303987,68.68422501272183,88.67412772943895,4,1
30,22,45.62446046129638,85.28790752828353,69.93387886704888,6,1
31,21,71.3826926445473,62.45304583169984,72.56291769797828,5,1
32,18,65.25162471606232,60.390064236547836,64.83928445400866,3,1
33,18,48.913679040205665,49.25716370754165,63.43833097246388,11,1
34,20,56.03098630425603,64.86597074335465,76.77886294870798,5,1
